lg_SLA,lg_Na,SLA,Na,treatment
cm2 g-1,g m-2,cm2 g-1,g m-2,
2.303498446,0.289759923,201.14,1.948767028,CO2-C
2.343408594,0.306425028,220.5,2.025,CO2-C
1.91829273,0.374748346,82.85004143,2.37,CO2-C
2.208398335,0.079627978,161.5839925,1.201235,CO2-C
1.658011397,0.473716107,45.5,2.976570048,CO2-C
2.230135967,0.191161202,169.8775413,1.552963333,CO2-C
2.769551079,-0.15490196,588.2352941,0.7,CO2-C
2.172115773,0.386916116,148.633181,2.43734,CO2-C
2.060320029,0.29628337,114.9,1.97826,CO2-C
2.517476795,0.255272505,329.2128627,1.8,CO2-C
2.553276046,-0.415605509,357.5,0.384055944,CO2-C
1.50174373,0.525044807,31.75,3.35,CO2-C
1.748188027,0.268845312,56,1.857142857,CO2-C
2.157356015,0.237749388,143.6666667,1.728818445,CO2-C
2.271841607,0.191210605,187,1.55314,CO2-C
1.831869774,0.106979189,67.9,1.27932,CO2-C
2.206825876,0.225044981,161,1.678977904,CO2-C
2.230448921,0.206475062,170,1.6087,CO2-C
2.040958608,0.012837225,109.8901099,1.03,CO2-C
1.979224512,0.164352856,95.32888465,1.46,CO2-C
1.835690571,0.119882458,68.5,1.3179,CO2-C
1.552668216,0.511883361,35.7,3.25,CO2-C
1.694373952,0.53758615,49.47365,3.44815,CO2-C
2.046385165,-0.011408346,111.2718132,0.974073333,CO2-C
2.140419922,0.127104798,138.1719612,1.34,CO2-C
1.57634135,0.50644402,37.7,3.209549072,CO2-C
2.256310354,0.211242648,180.4306667,1.626457233,CO2-C
2.24302564,0.060965901,174.995,1.150710037,CO2-C
2.145086978,0.197335703,139.6648045,1.5752,CO2-C
2.248802676,0.288472801,177.3383553,1.943,CO2-C
2.263714952,0.251622714,183.5333333,1.784936266,CO2-C
2.19278854,0.305377407,155.8793333,2.020121108,CO2-C
2.083980129,0.286306739,121.3333333,1.933333333,CO2-C
2.150804731,0.043567036,141.5157348,1.1055211,CO2-C
2.152594078,0.291450718,142.1,1.956368754,CO2-C
2.165837625,0.113943352,146.5,1.3,CO2-C
2.371990911,0.088136089,235.5,1.225,CO2-C
2.44870632,0.072308731,281,1.18116,CO2-C
2.537399284,0.100418,344.6666667,1.260137686,CO2-C
2.593286067,-0.162603231,392,0.687696429,CO2-C
2.295738585,-0.120679277,197.578,0.757392017,CO2-C
2.180830959,0.449084003,151.646,2.812444773,CO2-C
2.368286885,-0.153443037,233.5,0.70235546,CO2-C
2.599311804,-0.18655646,397.4768172,0.650794,CO2-C
2.324782327,0.158634354,211.243,1.440901701,CO2-C
1.723455672,0.337242168,52.9,2.173913043,CO2-C
1.916123759,0.207727882,82.4373,1.613347356,CO2-C
2.218986071,-0.176608595,165.5716859,0.665873,CO2-C
2.277723789,0.119386113,189.55,1.316394665,CO2-C
1.775974331,0.29957263,59.7,1.993299832,CO2-C
2.73754891,-0.228346388,546.4480874,0.59109,CO2-C
2.206825876,0.309047968,161,2.037267081,CO2-C
2.260439905,-0.034649604,182.1545,0.923316073,CO2-C
2.37345637,0.017033339,236.296,1.04,CO2-C
2.241048151,-0.110006779,174.2,0.776235,CO2-C
1.895854449,0.325820548,78.67820614,2.117486,CO2-C
2.352821509,0.190905533,225.3312933,1.552049375,CO2-C
2.031422918,0.097938362,107.5035779,1.252963333,CO2-C
2.316494539,-0.139910061,207.25,0.724586,CO2-C
